Symbol,Name,Category Name
AKP,Alliance CA Municipal Income,Muni California Long
AFB,AllianceBernstein Nat Muni,Muni National Long
BJZ,BlackRock CA Muni 2018 Term,Muni California Intermediate
BFZ,BlackRock CA Municipal Income,Muni California Long
BFO,BlackRock FL Municipal 2020,Muni Single State Interm
BKN,BlackRock Invst. Quality Muni,Muni National Long
BTA,BlackRock Long-Term Muni Adv,High Yield Muni
BZM,BlackRock MD Muni Bond,Muni Single State Long
BPK,BlackRock Muni 2018 Term Trust,Muni National Interm
BAF,BlackRock Muni Inc Inv Qty Trust,Muni National Long
BYM,BlackRock Muni Inc Qty Trust,Muni National Long
MUI,BlackRock Muni Inter Duration,Muni National Long
MNE,BlackRock Muni NY Intermed. Duration,Muni New York Long
MUA,BlackRock MuniAssets Fund,High Yield Muni
MEN,BlackRock MuniEnhanced,Muni National Long
MUC,BlackRock MuniHoldings CA Qty,Muni California Long
MHD,BlackRock MuniHoldings Fund,Muni National Long
MUH,BlackRock MuniHoldings Fund II,Muni National Long
MFL,BlackRock MuniHoldings Inv Qty,Muni National Long
MUJ,BlackRock MuniHoldings NJ Qty,Muni New Jersey
MHN,BlackRock MuniHoldings NY Qty,Muni New York Long
MUE,BlackRock MuniHoldings Qty II,Muni National Long
MUS,BlackRock MuniHoldings Quality,Muni National Long
MVF,BlackRock MuniVest,Muni National Long
MVT,BlackRock MuniVest Fund II,Muni National Long
MYD,BlackRock MuniYield,Muni National Long
MZA,BlackRock MuniYield Arizona,Muni Single State Long
MYC,BlackRock MuniYield CA,Muni California Long
MCA,BlackRock MuniYield CA Quality,Muni California Long
MYF,BlackRock MuniYield Inv Fund,Muni National Long
MIY,BlackRock MuniYield MI Quality,Muni Single State Long
MYJ,BlackRock MuniYield NJ,Muni New Jersey
MYN,BlackRock MuniYield NY Quality,Muni New York Long
MPA,BlackRock MuniYield PA Quality,Muni Pennsylvania
MYI,BlackRock MuniYield Qty III,Muni National Long
MQY,BlackRock MuniYield Quality,Muni National Long
MQT,BlackRock MuniYield Quality II,Muni National Long
BKK,BlackRock Municipal 2020,Muni National Interm
BTT,BlackRock Municipal 2030 Target Term,Muni National Long
BBK,BlackRock Municipal Bond,Muni National Long
BFK,BlackRock Municipal Income,Muni National Long
BLE,BlackRock Municipal Income II,Muni National Long
BBF,BlackRock Municipal Income Inv,Muni National Long
MFT,BlackRock Muniyield Inv Qty,Muni National Long
BLJ,BlackRock NJ Municipal Bond,Muni New Jersey
BNJ,BlackRock NJ Municipal Income,Muni New Jersey
BLH,BlackRock NY Muni 2018 Term,Muni New York Intermediate
BSE,BlackRock NY Muni Inc Qty,Muni New York Long
BQH,BlackRock NY Municipal Bond,Muni New York Long
BFY,BlackRock NY Municipal Inc II,Muni New York Long
BNY,BlackRock NY Municipal Income,Muni New York Long
BSD,BlackRock Strategic Muni,Muni National Long
BHV,BlackRock VA Municipal Bond,Muni Single State Long
DTF,DTF Tax-Free Income,Muni National Long
VCF,Delaware Invest CO Muni Income,Muni Single State Long
VFL,Delaware Invest National Muni,Muni National Long
VMM,Delaware MN Muni Income II,Muni Minnesota
KTF,Deutsche Municipal Income,Muni National Long
KSM,Deutsche Strategic Muni Income,High Yield Muni
DMB,Dreyfus Muni Bond Infrastructure,Muni National Long
DMF,Dreyfus Municipal Income,Muni National Long
DSM,Dreyfus Strategic Muni Bond,Muni National Long
LEO,Dreyfus Strategic Municipals,Muni National Long
EIA,EV CA Muni Bond II,Muni California Long
EVM,EV CA Municipal Bond,Muni California Long
CEV,EV CA Municipal Income,Muni California Long
MAB,EV MA Municipal Bond,Muni Massachusetts
MMV,EV MA Municipal Income,Muni Massachusetts
MIW,EV MI Municipal Bond,Muni Single State Long
EMI,EV MI Municipal Income,Muni Single State Long
EIM,EV Municipal Bond,Muni National Long
EIV,EV Municipal Bond II,Muni National Long
EVN,EV Municipal Income,Muni National Long
ETX,EV Municipal Income 2028 Term Trust,Muni National Long
EMJ,EV NJ Municipal Bond,Muni New Jersey
EVJ,EV NJ Municipal Income,Muni New Jersey
NYH,EV NY Muni Bond II,Muni New York Long
ENX,EV NY Municipal Bond,Muni New York Long
EVY,EV NY Municipal Income,Muni New York Long
EOT,EV National Muni Opps Trust,Muni National Long
EIO,EV OH Municipal Bond,Muni Ohio
EVO,EV OH Municipal Income,Muni Ohio
EIP,EV PA Municipal Bond,Muni Pennsylvania
EVP,EV PA Municipal Income,Muni Pennsylvania
FPT,Federated Premier Inter Muni Income,Muni National Long
FMN,Federated Premier Muni Income,Muni National Long
VKI,Invesco Adv Muni Inc II,Muni National Long
VCV,Invesco CA Value Muni Income,Muni California Long
OIA,Invesco Muni Income Opps Trust,High Yield Muni
VGM,Invesco Muni Invst. Grade Trust,Muni National Long
VMO,Invesco Muni Opps. Trust,Muni National Long
VKQ,Invesco Municipal Trust,Muni National Long
VPV,Invesco PA Value Muni Income Trust,Muni Pennsylvania
IQI,Invesco Quality Muni Income Trust,Muni National Long
VTN,Invesco Trust NY Inv Grade Muni,Muni New York Long
IIM,Invesco Value Muni Income Trust,Muni National Long
CXE,MFS High Income Municipal Trust,High Yield Muni
MFM,MFS Municipal Income,High Yield Muni
CCA,MFS California Municipal Fund,Muni California Long
CMU,MFS High Yield Municipal Trust,High Yield Muni
CXH,MFS Investment Grade Muni Trust,Muni National Long
MMD,Mainstay Defind Term Muni Opps,Muni National Long
MZF,Managed Duration InvGrade Muni,Muni National Long
MHE,Massachusetts Tax-Exempt Trust,Muni Massachusetts
NBW,Neuberger Berman CA Inter Muni,Muni California Intermediate
NBH,Neuberger Berman Inter Muni,Muni National Long
NBO,Neuberger Berman NY Intermediate Muni,Muni New York Long
NVG,Nuveen AMT-Free Muni Credit,Muni National Long
NUW,Nuveen AMT-Free Municipal Value,Muni National Long
NEA,Nuveen AMT-Free Quality Muni,Muni National Long
NAZ,Nuveen AZ Quality Muni,Muni Single State Long
NKX,Nuveen CA AMT - Free Quality Muni,Muni California Long
NCA,Nuveen CA Muni Value,Muni California Long
NCB,Nuveen CA Municipal Value 2,Muni California Long
NAC,Nuveen CA Quality Muni Income,Muni California Long
NXC,Nuveen CA Select Tax-Free,Muni California Long
NTC,Nuveen CT Quality Muni,Muni Single State Long
NEV,Nuveen Enhanced Muni Value,Muni National Long
NKG,Nuveen GA Quality Muni,Muni Single State Long
NIQ,Nuveen Inter Dur Qual Muni Term,Muni National Long
NID,Nuveen Intermediate Duration Muni Term,High Yield Muni
NMT,Nuveen MA Quality Muni,Muni Massachusetts
NMY,Nuveen MD Quality Muni,Muni Single State Long
NUM,Nuveen MI Quality Muni,Muni Single State Long
NMS,Nuveen MN Quality Muni,Muni Minnesota
NOM,Nuveen MO Quality Muni,Muni Single State Long
NMZ,Nuveen Muni High Inc Opp,High Yield Muni
NHA,Nuveen Municipal 2021 Target Term,High Yield Muni
NZF,Nuveen Municipal Credit Income,Muni National Long
NMI,Nuveen Municipal Income,Muni National Long
NUV,Nuveen Municipal Value,Muni National Long
NNC,Nuveen NC Quality Muni,Muni Single State Long
NJV,Nuveen NJ Municipal Value Fund,Muni New Jersey
NXJ,Nuveen NJ Quality Muni,Muni New Jersey
NRK,Nuveen NY AMT - Free Quality Muni,Muni New York Long
NNY,Nuveen NY Municipal Value,Muni New York Long
NYV,Nuveen NY Municipal Value 2,Muni New York Long
NAN,Nuveen NY Quality Muni,Muni New York Long
NXN,Nuveen NY Select Tax Free,Muni New York Long
NUO,Nuveen OH Quality Muni,Muni Ohio
NPN,Nuveen PA Municipal Value Fund,Muni Pennsylvania
NQP,Nuveen PA Quality Muni,Muni Pennsylvania
NAD,Nuveen Quality Muni Income Fund,Muni National Long
NIM,Nuveen Select Maturities Muni,Muni National Interm
NXP,Nuveen Select TaxFree Income,Muni National Long
NXQ,Nuveen Select TaxFree Income 2,Muni National Long
NXR,Nuveen Select TaxFree Income 3,Muni National Long
NTX,Nuveen TX Quality Muni,Muni Single State Long
NPV,Nuveen VA Quality Muni,Muni Single State Long
PCQ,PIMCO CA Municipal Income,Muni California Long
PCK,PIMCO CA Municipal Income II,Muni California Long
PZC,PIMCO CA Municipal Income III,Muni California Long
PMF,PIMCO Municipal Income,Muni National Long
PML,PIMCO Municipal Income II,Muni National Long
PMX,PIMCO Municipal Income III,Muni National Long
PNF,PIMCO NY Municipal Income,Muni New York Long
PNI,PIMCO NY Municipal Income II,Muni New York Long
PYN,PIMCO NY Municipal Income III,Muni New York Long
MAV,Pioneer Muni High Inc Adv,High Yield Muni
MHI,Pioneer Municipal High Income,High Yield Muni
PMM,Putnam Managed Muni Income,High Yield Muni
PMO,Putnam Municipal Opportunities,Muni National Long
SBI,Western Asset Intermediate Mun,Muni National Interm
MMU,Western Asset Managed Muni,Muni National Long
MTT,Western Asset Muni Defined Opp,Muni National Interm
MHF,Western Asset Muni High Income,High Yield Muni
MNP,Western Asset Municipal Partners,Muni National Long
